txn_id,post_date,account_code,description,debit,credit,currency
TXN-1001,2026-05-01,1000-CASH,Customer payment received,2500.00,,USD
TXN-1002,2026-05-01,4000-REVENUE,Service revenue recognition,,3200.00,USD
TXN-1003,2026-05-02,5000-COGS,Inventory purchase,1500.00,,USD
TXN-1004,2026-05-02,2100-AP,Vendor invoice payment,,875.50,USD
TXN-1005,2026-05-03,1000-CASH,Payroll funding transfer,12000.00,,USD
TXN-1006,2026-05-03,6100-PAYROLL,Salary expense accrual,12000.00,,USD
TXN-1007,2026-06-04,1200-AR,Client invoice billed,4500.00,,USD
TXN-1008,2026-05-04,2200-ACCRUED,Accrued liability reversal,,650.00,USD
TXN-1009,2026-05-05,6300-UTILITIES,Utility bill payment,99.99,,USD
TXN-1010,2026-05-05,1000-CASH,Petty cash replenishment,1050.00,,USD
TXN-1011,2026-05-06,4000-REVENUE,Consulting fee earned,,1800.00,USD
